Exp	Bag	Plot	Trtmt	Rep	Timepoint	Bag.Tagpre	Litter.pre	Wet	Dry	Moisture.Percent	Moisture.Percent	TinAsh.g	MassRemaining.PreASH	PostASH	MassRemaining	mass.loss
S	512	2	T	Y	C	9.558	9.003	28.69	22.68	0.264991182	0.264991182	1.883	4.88	4.1042	0.7758	0.913828724
S	517	3	T	X	C	9.538	9.012	34.64	26.03	0.330772186	0.330772186	1.8731	6.199	5.1904	1.0086	0.888082557
S	518	3	T	Y	C	9.533	9.058	47.77	34.72	0.375864055	0.375864055	1.8529	9.5803	8.1444	1.4359	0.841477147
S	524	4	T	X	C	9.589	9.051	61.13	44.3	0.379909707	0.379909707	1.8779	13.8847	12.5163	1.3684	0.848812286
S	525	4	T	Y	C	9.683	8.959	28.17	21.59	0.304770727	0.304770727	1.8408	3.5671	2.8887	0.6784	0.924277263
S	530	5	T	X	C	9.719	9.089	48.34	35.35	0.367468175	0.367468175	1.8482	8.3559	7.2599	1.096	0.879414677
S	531	5	T	Y	C	9.594	9.083	37.76	28.03	0.347128077	0.347128077	1.8839	6.7601	5.8041	0.956	0.894748431
S	537	6	UT	X	C	9.583	9.022	72.89	56.63	0.287126965	0.287126965	1.8963	20.1685	18.3768	1.7917	0.80140767
S	538	6	UT	Y	C	9.904	9.031	77.66	50.62	0.534176215	0.534176215	1.8599	5.8517	4.3378	1.5139	0.832366294
S	543	7	UT	X	C	9.587	9.018	23.49	18.04	0.30210643	0.30210643	1.8451	4.1235	3.445	0.6785	0.924761588
S	544	7	UT	Y	C	9.586	9.008	95.98	68.64	0.398310023	0.398310023	1.8869	18.5318	16.9175	1.6143	0.820792629
S	549	8	UT	X	C	9.492	9.066	52.8	38.52	0.370716511	0.370716511	1.8616	13.4461	NA	NA	NA
S	550	8	UT	Y	C	9.481	9.021	70.33	50.69	0.387453147	0.387453147	1.8426	20.5304	18.6281	1.9023	0.789125374
S	556	9	T	X	C	9.45	9.037	34.1	25.88	0.317619784	0.317619784	1.8881	6.831	6.0017	0.8293	0.908232821
S	557	9	T	Y	C	9.46	9.098	31.95	24.48	0.305147059	0.305147059	1.8513	6.0495	5.0125	1.037	0.886018905
S	562	10	UT	X	C	9.623	9.088	28.76	22.95	0.253159041	0.253159041	1.8781	5.0424	4.252	0.7904	0.913028169
S	563	10	UT	Y	C	9.556	9.04	28.98	23.13	0.252918288	0.252918288	1.844	7.2112	6.3899	0.8213	0.90914823
